source_file,video_id,handle,cover_url,status,saved_path,error
yt-dlp,7414077948082277650,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7414077948082277650,ok,covers\7414077948082277650.image,
yt-dlp,7410012089189731591,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7410012089189731591,ok,covers\7410012089189731591.image,
yt-dlp,7406296357755014418,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7406296357755014418,ok,covers\7406296357755014418.image,
yt-dlp,7402943494819433735,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7402943494819433735,ok,covers\7402943494819433735.image,
yt-dlp,7399993891035876615,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7399993891035876615,ok,covers\7399993891035876615.image,
yt-dlp,7398756947668864263,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7398756947668864263,ok,covers\7398756947668864263.image,
yt-dlp,7394798134922087698,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7394798134922087698,ok,covers\7394798134922087698.image,
yt-dlp,7392936015113096466,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7392936015113096466,ok,covers\7392936015113096466.image,
yt-dlp,7390703086160907538,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7390703086160907538,ok,covers\7390703086160907538.jpeg,
yt-dlp,7379809707160079623,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7379809707160079623,ok,covers\7379809707160079623.image,
yt-dlp,7378828081089301767,anantara.chiangmai,https://www.tiktok.com/@anantara.chiangmai/video/7378828081089301767,ok,covers\7378828081089301767.image,
yt-dlp,7518637647745649938,nh.collection.samui,https://www.tiktok.com/@nh.collection.samui/video/7518637647745649938,ok,covers\7518637647745649938.image,
yt-dlp,7505305390977010952,nh.collection.samui,https://www.tiktok.com/@nh.collection.samui/video/7505305390977010952,ok,covers\7505305390977010952.image,
yt-dlp,7505706261330136327,nh.collection.samui,https://www.tiktok.com/@nh.collection.samui/video/7505706261330136327,ok,covers\7505706261330136327.image,
yt-dlp,7389184492302388496,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7389184492302388496,ok,covers\7389184492302388496.image,
yt-dlp,7378383573902003473,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7378383573902003473,ok,covers\7378383573902003473.image,
yt-dlp,7372929228330831105,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7372929228330831105,ok,covers\7372929228330831105.image,
yt-dlp,7367274999184510224,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7367274999184510224,ok,covers\7367274999184510224.image,
yt-dlp,7367003537777118480,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7367003537777118480,ok,covers\7367003537777118480.image,
yt-dlp,7360679365639769361,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7360679365639769361,ok,covers\7360679365639769361.image,
yt-dlp,7358343520471518482,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7358343520471518482,ok,covers\7358343520471518482.image,
yt-dlp,7355199144434142480,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7355199144434142480,ok,covers\7355199144434142480.image,
yt-dlp,7349827446037925122,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7349827446037925122,ok,covers\7349827446037925122.image,
yt-dlp,7346478923527621889,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7346478923527621889,ok,covers\7346478923527621889.image,
yt-dlp,7344728558188727553,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7344728558188727553,ok,covers\7344728558188727553.image,
yt-dlp,7342035060289277185,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7342035060289277185,ok,covers\7342035060289277185.image,
yt-dlp,7339921995779329282,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7339921995779329282,ok,covers\7339921995779329282.image,
yt-dlp,7335343837050703106,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7335343837050703106,ok,covers\7335343837050703106.image,
yt-dlp,7329765826549058817,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7329765826549058817,ok,covers\7329765826549058817.image,
yt-dlp,7328338174596402433,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7328338174596402433,ok,covers\7328338174596402433.image,
yt-dlp,7322445190508104961,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7322445190508104961,ok,covers\7322445190508104961.image,
yt-dlp,7319095212331060482,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7319095212331060482,ok,covers\7319095212331060482.image,
yt-dlp,7316506752248302850,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7316506752248302850,ok,covers\7316506752248302850.image,
yt-dlp,7311220330452815105,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7311220330452815105,ok,covers\7311220330452815105.image,
yt-dlp,7309079446064024834,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7309079446064024834,ok,covers\7309079446064024834.image,
yt-dlp,7300966582526790913,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7300966582526790913,ok,covers\7300966582526790913.image,
yt-dlp,7294126988590124290,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7294126988590124290,ok,covers\7294126988590124290.image,
yt-dlp,7293743493359488257,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7293743493359488257,ok,covers\7293743493359488257.image,
yt-dlp,7291949042370743554,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7291949042370743554,ok,covers\7291949042370743554.image,
yt-dlp,7290444107023944961,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7290444107023944961,ok,covers\7290444107023944961.image,
yt-dlp,7289351414646590721,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7289351414646590721,ok,covers\7289351414646590721.image,
yt-dlp,7288227492987489537,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7288227492987489537,ok,covers\7288227492987489537.image,
yt-dlp,7288204389272112386,anantara.jabalakhdar,https://www.tiktok.com/@anantara.jabalakhdar/video/7288204389272112386,ok,covers\7288204389272112386.image,
yt-dlp,7516482714065784082,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7516482714065784082,ok,covers\7516482714065784082.image,
yt-dlp,7511703031612722450,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7511703031612722450,ok,covers\7511703031612722450.image,
yt-dlp,7450417363964415233,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7450417363964415233,ok,covers\7450417363964415233.image,
yt-dlp,7442328098097335572,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7442328098097335572,ok,covers\7442328098097335572.image,
yt-dlp,7434158199625878801,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7434158199625878801,ok,covers\7434158199625878801.image,
yt-dlp,7430826690588298504,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7430826690588298504,ok,covers\7430826690588298504.image,
yt-dlp,7428967851760815368,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7428967851760815368,ok,covers\7428967851760815368.image,
yt-dlp,7423746319740669202,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7423746319740669202,ok,covers\7423746319740669202.image,
yt-dlp,7407360879014055175,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7407360879014055175,ok,covers\7407360879014055175.image,
yt-dlp,7398418782156246279,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7398418782156246279,ok,covers\7398418782156246279.image,
yt-dlp,7391856744525270289,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7391856744525270289,ok,covers\7391856744525270289.image,
yt-dlp,7392120175216053521,nhcollectioncmb,https://www.tiktok.com/@nhcollectioncmb/video/7392120175216053521,ok,covers\7392120175216053521.image,
